title,price_full,price_discounted,release_date,length,book_page,author,description,datePublished,bookDescription
Mastering VMware vSphere 6.7 - Second Edition,$ 39.99,$ 28.00,Mar 2019,756 pages,https://www.packtpub.com/application-development/mastering-vmware-vsphere-67-second-edition,Martin Gavanda,"Unleash the benefits of VMware vSphere 6.7 to provide a powerful, flexible and secure digital infrastructure",2019-03-07,"VMware vSphere provides a powerful, flexible and secure foundation for next-generation applications and datacenters that help you with your digital transformation efficiently.,Mastering VMware vSphere, 6.7, Second Edition begins by covering an overview of all the products, solutions and features of the vSphere 6.7 suite, comparing the evolutions with the previous releases. You’ll learn to design and plan a virtualization infrastructure to drive performance analysis and then proceed with the workflow and installation of components. Along with new network trends that will help you in optimally designing the vSphere environment, you will also learn the best practices involved in configuring and managing virtual machines in a vSphere infrastructure. With vSphere 6.7, you’ll make use of more powerful capabilities for patching, upgrading and managing the configuration of the virtual environment. The concluding chapters focus on core vSphere components as storage and network and you will learn all you need about resource management followed by topics as high availability and disaster recovery, troubleshooting, monitoring and security.,By the end the book you will discover different approaches on how to build your own VMware vSphere lab to help you run even the most demanding workloads"
Mastering Ceph - Second Edition,$ 35.99,$ 25.20,Mar 2019,345 pages,https://www.packtpub.com/virtualization-and-cloud/mastering-ceph-second-edition,Nick Fisk,"Discover the unified, distributed storage system and improve the performance of applications",2019-03-05,"Ceph is an open source distributed storage system that is scalable to Exabyte deployments. This second edition of Mastering Ceph takes you a step closer to becoming an expert on Ceph.,You’ll get started by understanding the design goals and planning steps that should be undertaken to ensure successful deployments. In the next sections, you’ll be guided through setting up and deploying the Ceph cluster with the help of orchestration tools. This will allow you to witness Ceph’s scalability, erasure coding (data protective) mechanism, and automated data backup features on multiple servers. You’ll then discover more about the key areas of Ceph including BlueStore, erasure coding and cache tiering with the help of examples. Next, you’ll also learn some of the ways to export Ceph into non-native environments and understand some of the pitfalls that you may encounter. The book features a section on tuning that will take you through the process of optimizing both Ceph and its supporting infrastructure. You’ll also learn to develop applications, which use Librados and distributed computations with shared object classes. Toward the concluding chapters, you’ll learn to troubleshoot issues and handle various scenarios where Ceph is not likely to recover on its own.,By the end of this book, you’ll be able to master storage management with Ceph and generate solutions for managing your infrastructure."
Mastering Docker Enterprise,$ 39.99,$ 28.00,Mar 2019,488 pages,https://www.packtpub.com/virtualization-and-cloud/mastering-docker-enterprise,Mark Panthofer,"A journey toward containerized applications in production with a cloud-portable, secure, robust and highly available Docker Enterprise platform.",2019-03-05,"While known mostly as the open source engine behind tens of millions of server nodes, Docker also offers commercially supported enterprise tooling known as the Docker Enterprise. This platform leverages the deep roots from Docker Engine - Community (formerly Docker CE) and Kubernetes, but adds support and tooling to efficiently operate a secure container platform at scale. With hundreds of enterprises on board, best practices and adoption patterns are emerging rapidly. These learning points can be used to inform adopters and help manage the enterprise transformation associated with enterprise container adoption.,This book starts by explaining the case for Docker Enterprise, as well as its structure and reference architecture. From there, we progress through the PoC,pilot and production stages as a working model for adoption, evolving the platform’s design and configuration for each stage and using detailed application examples along the way to clarify and demonstrate important concepts.The book concludes with Docker’s impact on other emerging software technologies, such as Blockchain and Serverless computing.,By the end of this book, you’ll have a better understanding of what it takes to get your enterprise up and running with Docker Enterprise and beyond."
Mastering Microsoft Dynamics 365 Customer Engagement - Second Edition,$ 39.99,$ 28.00,Feb 2019,572 pages,https://www.packtpub.com/application-development/mastering-microsoft-dynamics-365-customer-engagement-second-edition,Deepesh Somani,A comprehensive guide packed with the latest features of Dynamics 365 for customer relationship management,2019-02-28,"Microsoft Dynamics 365 is an all-in-one business management solution that's easy to use and adapt. It helps you connect your finances, sales, service, and operations to streamline business processes, improve customer interactions, and enable growth. This book gives you all the information you need to become an expert in MS Dynamics 365.,This book starts with a brief overview of the functional features of Dynamics 365. You will learn how to create Word and Excel templates using CRM data to enable customized data analysis for your organization. This book helps you understand how to use Dynamics 365 as an XRM Framework, gain a deep understanding of client-side scripting in Dynamics 365, and create client-side applications using JavaScript and the Web API.,In addition to this, you will discover how to customize Dynamics 365, and quickly move on to grasp the app structure, which helps you customize Dynamics 365 better. You will also learn how Dynamics 365 can be seamlessly embedded into various productivity tools to customize them for machine learning and contextual guidance.,By the end of this book, you will have mastered utilizing Dynamics 365 features through real-world scenarios."
Data Wrangling with Python,$ 31.99,$ 22.40,Feb 2019,452 pages,https://www.packtpub.com/application-development/data-wrangling-python,Dr. Tirthajyoti Sarkar,"Simplify your ETL processes with these hands-on data hygiene tips, tricks, and best practices.",2019-02-28,"For data to be useful and meaningful, it must be curated and refined. Data Wrangling with Python teaches you the core ideas behind these processes and equips you with knowledge of the most popular tools and techniques in the domain.,The book starts with the absolute basics of Python, focusing mainly on data structures. It then delves into the fundamental tools of data wrangling like NumPy and Pandas libraries. You’ll explore useful insights into why you should stay away from traditional ways of data cleaning, as done in other languages, and take advantage of the specialized pre-built routines in Python. This combination of Python tips and tricks will also demonstrate how to use the same Python backend and extract/transform data from an array of sources including the Internet, large database vaults, and Excel financial tables. To help you prepare for more challenging scenarios, you’ll cover how to handle missing or wrong data, and reformat it based on the requirements from the downstream analytics tool. The book will further help you grasp concepts through real-world examples and datasets.,By the end of this book, you will be confident in using a diverse array of sources to extract, clean, transform, and format your data efficiently."
Hands-On Business Intelligence with Qlik Sense,$ 31.99,$ 22.40,Feb 2019,442 pages,https://www.packtpub.com/big-data-and-business-intelligence/hands-business-intelligence-qlik-sense,Pablo Labbe,Create dynamic dashboards to bring interactive data visualization to your enterprise using Qlik Sense,2019-02-28,"Qlik Sense allows you to explore simple-to-complex data to reveal hidden insights and data relationships to make business-driven decisions.,Hands-On Business Intelligence with Qlik Sense begins by helping you get to grips with underlying Qlik concepts and gives you an overview of all Qlik Sense’s features. You will learn advanced modeling techniques and learn how to analyze the data loaded using a variety of visualization objects. You’ll also be trained on how to share apps through Qlik Sense Enterprise and Qlik Sense Cloud and how to perform aggregation with AGGR. As you progress through the chapters, you’ll explore the stories feature to create data-driven presentations and update an existing story. This book will guide you through the GeoAnalytics feature with the geo-mapping object and GeoAnalytics connector. Furthermore, you’ll learn about the self-service analytics features and perform data forecasting using advanced analytics. Lastly, you’ll deploy Qlik Sense apps for mobile and tablet.,By the end of this book, you will be well-equipped to run successful business intelligence applications using Qlik Sense's functionality, data modeling techniques, and visualization best practices."
Hands-On Penetration Testing with Kali NetHunter,$ 31.99,$ 22.40,Feb 2019,302 pages,https://www.packtpub.com/networking-and-servers/hands-penetration-testing-kali-nethunter,Glen D. Singh,Converting Android to a powerful pentesting platform,2019-02-28,"Kali Nethunter is version of the popular and powerful Kali Linux pentesting platform, but designed to be installed on mobile devices. In this book, you will learn the components of Nethunter, how to install the software, the different tools included and how to optimize and use the package to get the results that you need to carry out your tests and make you environment more secure.,Starting with an introduction to Kali Nethunter, you will delve into the different phases of the pentesting process. This book will also show you how to build your penetration testing environment and set up your lab. You will be able to gather intellectual data and exploit vulnerable areas and gain control over target system. You will also learn about the Nethunter tools available for exploiting wireless and wireless devices. The book will then show you new ways to deploy existing tools in new ways designed to reduce the chances of detection. Lastly, you will also discover some tips and best practices on integrating security hardening into your Android ecosystem. By the end of this book, you will know how to successfully use a mobile penetration testing device based on Kali Nethunter and Android to accomplish the same tasks you would traditionally, but in a smaller and more mobile form factor."
Learn Chart.js,$ 23.99,$ 16.80,Feb 2019,284 pages,https://www.packtpub.com/web-development/learn-chartjs,Helder da Rocha,Design interactive graphics and visuals for your data-driven applications using the popular open-source Chart.js data visualization library.,2019-02-28,"Chart.js is a free, open-source data visualization library, maintained by an active community of developers in GitHub, where it rates as the second most popular data visualization library. If you want to quickly create responsive Web-based data visualizations for the Web, Chart.js is a great choice.,This book guides the reader through dozens of practical examples, complete with code you can run and modify as you wish. It is a practical hands-on introduction to Chart.js. If you have basic knowledge of HTML, CSS and JavaScript you can learn to create beautiful interactive Web Canvas-based visualizations for your data using Chart.js. This book will help you set up Chart.js in a Web page and show how to create each one of the eight Chart.js chart types. You will also learn how to configure most properties that override Chart’s default styles and behaviors. Practical applications of Chart.js are exemplified using real data files obtained from public data portals. You will learn how to load, parse, filter and select the data you wish to display from those files. You will also learn how to create visualizations that reveal patterns in the data. This book is based on Chart.js version 2.7.3 and ES2015 JavaScript.,By the end of the book, you will be able to create beautiful, efficient and interactive data visualizations for the Web using Chart.js."
Mastering Hadoop 3,$ 43.99,$ 30.80,Feb 2019,544 pages,https://www.packtpub.com/big-data-and-business-intelligence/mastering-hadoop-3,Chanchal Singh,A comprehensive guide to mastering the most advanced Hadoop 3 concepts,2019-02-28,"Apache Hadoop is one of the most popular big data solutions for distributed storage and for processing large chunks of data. With Hadoop 3, Apache promises to provide a high-performance, more fault-tolerant, and highly efficient big data processing platform, with a focus on improved scalability and increased efficiency.,With this guide, you’ll understand advanced concepts of the Hadoop ecosystem tool. You’ll learn how Hadoop works internally, study advanced concepts of different ecosystem tools, discover solutions to real-world use cases, and understand how to secure your cluster. It will then walk you through HDFS, YARN, MapReduce, and Hadoop 3 concepts. You’ll be able to address common challenges like using Kafka efficiently, designing low latency, reliable message delivery Kafka systems, and handling high data volumes. As you advance, you’ll discover how to address major challenges when building an enterprise-grade messaging system, and how to use different stream processing systems along with Kafka to fulfil your enterprise goals.,By the end of this book, you’ll have a complete understanding of how components in the Hadoop ecosystem are effectively integrated to implement a fast and reliable data pipeline, and you’ll be equipped to tackle a range of real-world problems in data pipelines."
Azure Resource Manager Templates Quick Start Guide,$ 23.99,$ 16.80,Feb 2019,234 pages,https://www.packtpub.com/virtualization-and-cloud/azure-resource-manager-templates-quick-start-guide,Ritesh Modi,"Compose and decompose ARM templates and use advanced concepts like looping, conditions, dependencies, PowerShell and Desired State Configuration.",2019-02-28,"Azure Resource Manager (ARM) templates are declarations of Azure resources in the JSON format to provision and maintain them using infrastructure as code. This book gives practical solutions and examples for provisioning and managing various Azure services using ARM templates.,The book starts with an understanding of infrastructure as code, a refresher on JSON, and then moves on to explain the fundamental concepts of ARM templates. Important concepts like iteration, conditional evaluation, security, usage of expressions, and functions will be covered in detail.,You will use linked and nested templates to create modular ARM templates. You will see how to create multiple instances of the same resources, how to nest and link templates, and how to establish dependencies between them.,You will also learn about implementing design patterns, secure template design, the unit testing of ARM templates, and adopting best practices.,By the end of this book, you will understand the entire life cycle of ARM templates and their testing, and be able to author them for complex deployments."
